Date,Time,Time (Seconds),Ambient Temp (F),Chamber Temp (F),Active Bin number based on ambient temp,LDO algorithm state,time in hours,time in minutes,BIN 0 Avg Temp,BIN 1 Avg Temp,BIN 2 Avg Temp,BIN 3 Avg Temp,Tmax temp (F),Tstart temp (F),IGN State,LDO Flags,LDO Trigger Temperature
7/18/2024,20:40.9,0,76,71,60-80 BIN 1,Cooling,0,0,,,194,,,,Wait for pressure switch / limit to close,No Errors,50
7/18/2024,20:45.1,4.112,76,71,60-80 BIN 1,Cooling,0,0,,,194,,,,Prepurge,No Errors,50
7/18/2024,20:48.0,7.012,76,71,60-80 BIN 1,Cooling,0,0,,,194,,,,Prepurge,No Errors,50
7/18/2024,20:51.4,10.445,76,71,60-80 BIN 1,Cooling,0,0,,,194,,,,Prepurge,No Errors,50
7/18/2024,20:57.5,16.563,76,71,60-80 BIN 1,Warming,0,0,,,194,,,71,"Flame Stabilisation Period (if we have strong flame for 3 seconds, go to running, otherwise retry after 6 seconds)",No Errors,50
7/18/2024,21:01.6,20.633,76,71,60-80 BIN 1,Warming,0,0,,,194,,,71,Running,No Errors,50
7/18/2024,21:06.4,25.471,76,71,60-80 BIN 1,Warming,0,0,,,194,,,71,Running,No Errors,50
7/18/2024,21:12.0,31.095,77,72,60-80 BIN 1,Warming,0,0,,,194,,,71,Running,No Errors,50
7/18/2024,21:16.6,35.664,77,73,60-80 BIN 1,Warming,0,0,,,194,,,71,Running,No Errors,50
7/18/2024,21:21.7,40.762,77,73,60-80 BIN 1,Warming,0,0,,,194,,,71,Running,No Errors,50
7/18/2024,21:26.6,45.626,77,74,60-80 BIN 1,Warming,0,0,,,194,,,71,Running,No Errors,50
7/18/2024,21:31.3,50.362,77,75,60-80 BIN 1,Warming,0,0,,,194,,,71,Running,No Errors,50
7/18/2024,21:36.3,55.352,77,76,60-80 BIN 1,Warming,0,0,,,194,,,71,Running,No Errors,50
7/18/2024,21:41.2,60.303,77,76,60-80 BIN 1,Warming,0,0,,,194,,,71,Running,No Errors,50
7/18/2024,21:46.3,65.312,77,77,60-80 BIN 1,Warming,0,0,,,194,,,71,Running,No Errors,50
7/18/2024,21:51.3,70.328,77,78,60-80 BIN 1,Warming,0,0,,,194,,,71,Running,No Errors,50
7/18/2024,21:56.3,75.312,77,78,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:01.2,80.303,77,79,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:06.3,85.312,77,80,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:11.3,90.327,77,80,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:16.3,95.318,77,81,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:21.2,100.293,77,82,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:26.2,105.27,78,83,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:31.2,110.269,78,84,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:36.2,115.27,78,85,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:41.2,120.237,78,86,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:46.2,125.237,78,87,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:51.2,130.236,78,87,60-80 BIN 1,Warming,0,1,,,194,,,71,Running,No Errors,50
7/18/2024,22:56.1,135.171,78,89,60-80 BIN 1,Warming,0,2,,,194,,,71,Running,No Errors,50
7/18/2024,23:01.1,140.186,78,89,60-80 BIN 1,Warming,0,2,,,194,,,71,Running,No Errors,50
7/18/2024,23:06.1,145.178,78,91,60-80 BIN 1,Warming,0,2,,,194,,,71,Running,No Errors,50
7/18/2024,23:11.1,150.202,78,92,60-80 BIN 1,Warming,0,2,,,194,,,71,Running,No Errors,50
7/18/2024,23:16.1,155.17,78,92,60-80 BIN 1,Warming,0,2,,,194,,,71,Running,No Errors,50
7/18/2024,23:21.1,160.128,78,93,60-80 BIN 1,Warming,0,2,,,194,,,71,Running,No Errors,50
7/18/2024,23:26.1,165.128,78,95,60-80 BIN 1,Warming,0,2,,,194,,,71,Running,No Errors,50
7/18/2024,23:31.0,170.112,78,95,60-80 BIN 1,Warming,0,2,,,194,,,71,Running,No Errors,50
7/18/2024,23:36.0,175.103,78,96,60-80 BIN 1,Warming,0,2,,,194,,,71,Running,No Errors,50
