System Date,System Time,Elapsed Time (sec),PLC Real-Time Clock (Min),Floor no 1 (°F) - PL0001,Floor no 2 (°F) - PL0002,Floor no 3 (°F) - PL0003,Floor no 4 (°F) - PL0004,Water Inlet Temperature (°F) - PL0005,Water Outlet Temperature (°F) - PL0006,Ambient Air Temperature (°F) - PL0007,Spare Thermocouple Type T (°F) - PL0008,Flue Gas Temperature Top (°F) - PL0009,Flue Gas Baffle Temperature Bottom (°F) - PL0010,Thermocouple Input Type J (°F) - PL0011,Thermocouple Input Type J (°F)  - PL0012,Thermocouple Input Type J (°F) - PL0013,Thermocouple Input Type J (°F) - PL0014,Thermocouple Input Type J (°F) - PL0015,Thermocouple Input Type J (°F) - PL0016,Thermocouple Input Type K (°F) - PL0017,Thermocouple Input Type K (°F) - PL0018,Thermocouple Input Type K (°F) - PL0019,Thermocouple Input Type K (°F) - PL0020,Cold Water Inlet to Intellifaucet (°F) - PL0021,Hot Water Inlet to Intellifaucet (°F) - PL0022,Outlet Intellifaucet (°F) - PL0023,Ambient Air Temperature Outside Chamber (°F) - PL0024,Millivoltage Output Pilot (mV),Water Pressure Sensor ,Spare (Investigate Wiring),Spare (Investigate Wiring),Flow Rate FVIR (GPM),Totalized Flow FVIR (Gallons),Absolute Pressure [inHgA],Gauge/Diff. Pressure [inHgG],BarometricPressure [inHgA],Temperature [°F],Uncorrected [CFH],Corrected [SCFH],Gas Rate (BTU/hr),Energy (BTU),Heating Value (BTU/cu.ft),Totalizer [Sft3],Gas Selected,Water Outlet Valve-FVIR,Water Inlet Valve-FVIR,Gas Solenoid Valve-FVIR,Water Flow DRK375-FVIR,Actuator Mannequin - Work Position,Actuator Mannequin - Home Position,Actuator Can - Work Position,Actuator Can - Home Position,Can is Spilling - FVIR,Mannequin is moving - FVIR,Reset FVIR Totalizer (Status),,,,,Temperature Water (°F) -Vesta,Temperature Water Compensated (°F) -Vesta,Temperature Ambient (°F) -Vesta,Temperature Filtered (°F)-TCO -Vesta,Pilot Voltage (mV) -Vesta,Setpoint Location (°F)-Vesta,Setpoint Actual (°F)-Vesta,Setpoint User (°F)-Vesta,Differential User (°F)-Vesta,Differential Actual (°F)-Vesta,Chamber Sensor Temperature (°F) - Vesta LDO,LDO Base Temperature (°F) -Vesta,LDO Timer (Sec)-Vesta,Heat Request-Vesta,Fault Ram-Vesta,Disabled (0)-Vesta,Warming (1)-Vesta,Heating (2)-Vesta,Cooling Data Write (3)-Vesta,Cooling (4)-Vesta,Data Read (5)-Vesta,Temperature Trip (7)-Vesta,Burner Status - Vesta,Thermistor-1 (kOhms) - Agilent,Thermistor-2 (kOhms) - Agilent,Thermistor-3 (kOhms) - Agilent,Thermistor-4 (kOhms) - Agilent,Thermistor-5 (kOhms) - Agilent,Thermistor-6 (kOhms) - Agilent,Thermistor-7 (kOhms) - Agilent,Thermistor-8 (kOhms) - Agilent,Thermistor-9 (kOhms) - Agilent,Thermistor-10 (kOhms) - Agilent
08/07/2024,11:45:47.627,387,6.400000,68.800000,71.700000,71.000000,71.700000,71.300000,78.600000,71.100000,-149.500000,71.700000,70.600000,-349.700000,-347.000000,-350.800000,-348.300000,-349.900000,-348.000000,-329.000000,-327.000000,-328.000000,-327.500000,63.800000,71.300000,69.000000,69.600000,100.000000,157.500000,-50.000000,-50.000000,0.000000,0.000000,29.900000,0.670000,29.225000,73.970000,42.987000,41.722000,44625.799251,431.048298,1069.598755,0.403000,NatG-1,0,0,0,0,0,1,0,0,0,0,0,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,0,0,0,0,0,0,0,30.3538,29.2775,34.7670,29.2775,30.0309,34.7670,30.7844,34.3364,99000000000000001000000000000000000.0000,99000000000000001000000000000000000.0000
08/07/2024,11:45:48.856,388,6.400000,68.600000,71.700000,71.000000,71.700000,71.300000,78.600000,71.100000,-149.500000,71.700000,71.100000,-349.700000,-347.000000,-350.800000,-348.300000,-349.900000,-348.000000,-329.000000,-327.000000,-328.000000,-327.500000,63.900000,71.400000,68.900000,69.400000,100.000000,157.500000,-50.000000,-50.000000,0.000000,0.000000,29.900000,0.670000,29.225000,73.970000,42.987000,41.722000,44625.799251,431.048298,1069.598755,0.403000,NatG-1,0,0,0,0,0,1,0,0,0,0,0,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,0,0,0,0,0,0,0,30.2462,29.2775,34.7670,29.2775,29.9233,34.7670,30.8920,34.4441,99000000000000001000000000000000000.0000,99000000000000001000000000000000000.0000
08/07/2024,11:45:49.856,389,6.500000,68.600000,71.500000,71.000000,71.700000,71.300000,78.600000,71.100000,-149.500000,71.700000,71.100000,-349.700000,-347.000000,-350.800000,-348.300000,-349.900000,-348.000000,-329.000000,-327.000000,-328.000000,-327.500000,63.800000,71.300000,68.900000,69.600000,100.000000,157.500000,-50.000000,-50.000000,0.000000,0.000000,29.900000,0.680000,29.223000,73.970000,42.980000,41.719000,44622.590455,11.765586,1069.598755,0.011000,NatG-1,0,1,1,1,0,1,0,1,0,0,0,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,0,0,0,0,0,0,0,30.3538,29.2775,34.5517,29.3851,30.0309,34.9822,30.9997,34.4441,99000000000000001000000000000000000.0000,99000000000000001000000000000000000.0000
08/07/2024,11:45:50.857,390,6.500000,66.700000,71.500000,71.000000,71.700000,71.300000,83.100000,71.100000,-149.500000,71.700000,71.100000,-349.700000,-347.000000,-350.800000,-348.300000,-349.900000,-348.000000,-329.000000,-327.000000,-328.000000,-327.500000,63.800000,71.600000,68.900000,69.600000,100.000000,157.500000,-50.000000,-50.000000,0.000000,0.000000,29.900000,0.680000,29.224000,73.960000,42.934000,41.676000,44576.597708,24.600771,1069.598755,0.023000,NatG-1,0,1,1,1,0,1,0,1,0,0,0,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,0,0,0,0,0,0,0,30.1385,28.8469,34.5517,29.6004,29.7080,34.6593,30.5691,34.4441,99000000000000001000000000000000000.0000,99000000000000001000000000000000000.0000
08/07/2024,11:45:51.855,391,6.500000,66.700000,71.500000,71.000000,71.700000,71.300000,83.100000,71.100000,-149.500000,71.700000,70.600000,-349.700000,-347.000000,-350.800000,-348.300000,-349.900000,-348.000000,-329.000000,-327.000000,-328.000000,-327.500000,63.200000,71.300000,68.900000,69.400000,100.000000,157.500000,-50.000000,-50.000000,0.000000,0.000000,29.900000,0.680000,29.224000,73.960000,42.931000,41.672000,44572.319313,37.435956,1069.598755,0.035000,NatG-1,0,1,1,1,0,1,0,1,0,0,1,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,0,0,0,0,0,0,0,30.2462,29.0622,34.5517,29.2775,29.9233,34.6593,30.9997,34.2288,99000000000000001000000000000000000.0000,99000000000000001000000000000000000.0000
08/07/2024,11:45:52.855,392,6.500000,66.700000,71.700000,71.000000,71.700000,71.300000,83.100000,71.100000,-149.500000,71.700000,70.600000,-349.700000,-347.000000,-350.800000,-348.300000,-349.900000,-348.000000,-329.000000,-327.000000,-328.000000,-327.500000,60.500000,71.400000,68.800000,69.500000,100.000000,157.500000,-50.000000,-50.000000,0.000000,0.000000,29.900000,0.680000,29.224000,73.950000,42.947000,41.692000,44593.711289,49.201543,1069.598755,0.046000,NatG-1,0,1,1,1,0,1,0,1,0,0,0,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,0,0,0,0,0,0,0,30.1385,29.4927,34.8746,29.2775,29.4927,34.8746,31.2149,34.5517,99000000000000001000000000000000000.0000,99000000000000001000000000000000000.0000
08/07/2024,11:45:53.855,393,6.500000,66.700000,71.500000,71.000000,71.700000,71.000000,83.100000,71.100000,-149.500000,71.700000,70.600000,-349.700000,-347.000000,-350.800000,-348.300000,-349.900000,-348.000000,-329.000000,-327.000000,-328.000000,-327.500000,58.900000,71.300000,68.800000,69.700000,100.000000,157.500000,-50.000000,-50.000000,0.000000,0.000000,29.900000,0.680000,29.225000,73.940000,42.911000,41.659000,44558.414530,62.036728,1069.598755,0.058000,NatG-1,0,1,1,1,0,1,0,1,0,0,0,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,0,0,0,0,0,0,0,30.1385,29.1698,34.5517,29.1698,29.6004,34.8746,30.9997,34.4441,99000000000000001000000000000000000.0000,99000000000000001000000000000000000.0000
08/07/2024,11:45:54.855,394,6.600000,66.700000,71.500000,70.800000,71.700000,71.000000,83.300000,71.100000,-149.500000,71.700000,70.600000,-349.700000,-347.000000,-350.800000,-348.300000,-349.900000,-348.000000,-329.000000,-327.000000,-328.000000,-327.500000,57.500000,71.400000,68.800000,69.500000,100.000000,157.500000,-50.000000,-50.000000,0.000000,0.000000,29.900000,0.680000,29.224000,73.940000,42.940000,41.689000,44590.502492,73.802314,1069.598755,0.069000,NatG-1,0,1,1,1,0,1,0,1,0,0,0,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,0,0,0,0,0,0,0,30.2462,29.1698,34.5517,29.2775,29.7080,34.8746,30.9997,34.3364,99000000000000001000000000000000000.0000,99000000000000001000000000000000000.0000
08/07/2024,11:45:56.355,395,6.600000,68.100000,71.700000,71.000000,71.700000,71.000000,80.000000,71.100000,-149.500000,71.700000,70.600000,-349.700000,-347.000000,-350.800000,-348.300000,-349.900000,-348.000000,-329.000000,-327.000000,-328.000000,-327.500000,55.900000,71.600000,68.700000,69.600000,100.000000,157.500000,-50.000000,-50.000000,0.000000,0.000000,29.900000,0.680000,29.224000,73.940000,42.927000,41.676000,44576.597708,86.637499,1069.598755,0.081000,NatG-1,0,1,1,1,0,1,0,1,0,0,0,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,0,0,0,0,0,0,0,30.3538,29.3851,34.6593,29.0622,29.6004,34.8746,30.9997,34.4441,99000000000000001000000000000000000.0000,99000000000000001000000000000000000.0000
08/07/2024,11:45:56.453,395,6.600000,68.100000,71.700000,71.000000,71.700000,71.000000,80.000000,71.100000,-149.500000,71.700000,70.600000,-349.700000,-347.000000,-350.800000,-348.300000,-349.900000,-348.000000,-329.000000,-327.000000,-328.000000,-327.500000,55.900000,71.600000,68.700000,69.600000,100.000000,157.500000,-50.000000,-50.000000,0.000000,0.000000,29.900000,0.680000,29.224000,73.940000,42.931000,41.679000,44579.806505,99.472684,1069.598755,0.093000,NatG-1,0,1,1,1,0,1,0,1,0,0,0,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,0,0,0,0,0,0,0,30.3538,29.3851,34.6593,29.0622,29.6004,34.8746,30.9997,34.4441,99000000000000001000000000000000000.0000,99000000000000001000000000000000000.0000
