Voltage (Volts) - Mean,111.990000,111.980000,111.950000,112.019875,112.300000,111.913368,111.940000,112.023787,112.050000,114.728964,114.760000,114.730000,114.777854,114.820000,114.730000,114.968759,115.000000,114.940000,114.708832,114.720000,114.748000,114.690000,114.670000,113.683037,113.610000,113.411568,113.330000,113.566048,113.630000,113.315290,113.300000,113.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Standard Deviation,NaN,NaN,NaN,0.161181,NaN,0.038418,NaN,0.041211,NaN,0.071618,NaN,NaN,0.033999,NaN,NaN,0.022408,NaN,NaN,0.022363,NaN,0.052931,NaN,NaN,0.016539,NaN,0.072527,NaN,0.034361,NaN,0.034756,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Variance,NaN,NaN,NaN,0.025979,NaN,0.001476,NaN,0.001698,NaN,0.005129,NaN,NaN,0.001156,NaN,NaN,0.000502,NaN,NaN,0.000500,NaN,0.002802,NaN,NaN,0.000274,NaN,0.005260,NaN,0.001181,NaN,0.001208,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Max,111.990000,111.980000,111.950000,112.280000,112.300000,112.010000,111.940000,112.110000,112.050000,114.850000,114.760000,114.730000,114.860000,114.820000,114.730000,115.010000,115.000000,114.940000,114.750000,114.720000,114.810000,114.690000,114.670000,113.720000,113.610000,113.560000,113.330000,113.650000,113.630000,113.420000,113.300000,113.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Min,111.990000,111.980000,111.950000,111.720000,112.300000,111.770000,111.940000,111.830000,112.050000,114.600000,114.760000,114.730000,114.700000,114.820000,114.730000,114.920000,115.000000,114.940000,114.660000,114.720000,114.600000,114.690000,114.670000,113.620000,113.610000,113.300000,113.330000,113.510000,113.630000,113.250000,113.300000,113.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Mean,0.204580,0.204490,0.199880,0.200134,0.200920,0.200205,0.200210,0.199935,0.200250,0.205362,0.205580,0.205520,0.205410,0.205500,0.205300,0.205863,0.205940,0.205780,0.205229,0.205270,0.205281,0.205150,0.205100,0.203140,0.202970,0.202562,0.202350,0.203091,0.203200,0.202503,0.202530,0.202530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Standard Deviation,NaN,NaN,NaN,0.000470,NaN,0.000091,NaN,0.000118,NaN,0.000199,NaN,NaN,0.000078,NaN,NaN,0.000052,NaN,NaN,0.000045,NaN,0.000117,NaN,NaN,0.000042,NaN,0.000174,NaN,0.000077,NaN,0.000072,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Variance,NaN,NaN,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Max,0.204580,0.204490,0.199880,0.200870,0.200920,0.200460,0.200210,0.200250,0.200250,0.205700,0.205580,0.205520,0.205560,0.205500,0.205300,0.205960,0.205940,0.205780,0.205330,0.205270,0.205420,0.205150,0.205100,0.203220,0.202970,0.202920,0.202350,0.203270,0.203200,0.202710,0.202530,0.202530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Min,0.204580,0.204490,0.199880,0.199350,0.200920,0.199900,0.200210,0.199650,0.200250,0.205040,0.205580,0.205520,0.205210,0.205500,0.205300,0.205760,0.205940,0.205780,0.205140,0.205270,0.204950,0.205150,0.205100,0.202990,0.202970,0.202300,0.202350,0.202970,0.203200,0.202350,0.202530,0.202530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Mean,9.220000,9.220000,9.030000,9.062338,9.130000,9.048667,9.050000,9.052270,9.070000,9.573593,9.590000,9.590000,9.576863,9.580000,9.570000,9.615109,9.620000,9.610000,9.560365,9.560000,9.565714,9.550000,9.550000,9.360222,9.340000,9.306585,9.290000,9.344132,9.350000,9.297065,9.300000,9.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Standard Deviation,NaN,NaN,NaN,0.042236,NaN,0.007758,NaN,0.009406,NaN,0.018232,NaN,NaN,0.007426,NaN,NaN,0.005017,NaN,NaN,0.005203,NaN,0.010738,NaN,NaN,0.003759,NaN,0.014848,NaN,0.006963,NaN,0.007001,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Variance,NaN,NaN,NaN,0.001784,NaN,0.000060,NaN,0.000088,NaN,0.000332,NaN,NaN,0.000055,NaN,NaN,0.000025,NaN,NaN,0.000027,NaN,0.000115,NaN,NaN,0.000014,NaN,0.000220,NaN,0.000048,NaN,0.000049,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Max,9.220000,9.220000,9.030000,9.130000,9.130000,9.070000,9.050000,9.070000,9.070000,9.600000,9.590000,9.590000,9.590000,9.580000,9.570000,9.620000,9.620000,9.610000,9.570000,9.560000,9.580000,9.550000,9.550000,9.370000,9.340000,9.340000,9.290000,9.360000,9.350000,9.320000,9.300000,9.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Min,9.220000,9.220000,9.030000,8.990000,9.130000,9.020000,9.050000,9.030000,9.070000,9.540000,9.590000,9.590000,9.560000,9.580000,9.570000,9.610000,9.620000,9.610000,9.550000,9.560000,9.540000,9.550000,9.550000,9.350000,9.340000,9.280000,9.290000,9.330000,9.350000,9.280000,9.300000,9.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WattHours - Max,2.622900,2.660000,11.791000,13.904000,13.912000,17.403000,17.411000,28.478000,28.485000,110.910000,110.910000,110.920000,120.110000,120.110000,120.120000,124.600000,124.610000,124.610000,131.770000,131.780000,132.570000,132.580000,132.590000,162.550000,162.560000,165.040000,165.050000,169.590000,169.590000,172.370000,172.370000,172.380000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WattHours - Min,2.622900,2.660000,11.791000,12.588000,13.912000,17.109000,17.411000,27.688000,28.485000,110.070000,110.910000,110.920000,119.640000,120.110000,120.120000,124.440000,124.610000,124.610000,131.620000,131.780000,132.420000,132.580000,132.590000,162.400000,162.560000,164.740000,165.050000,169.400000,169.590000,171.740000,172.370000,172.380000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Mean,119.916667,120.072222,121.111111,109.697224,100.772222,118.772827,116.750000,109.918266,104.333333,112.368947,106.250000,106.227778,116.651965,111.427778,111.444444,119.820884,118.888889,118.616667,117.901582,116.694444,116.064960,114.977778,115.005556,114.407819,113.716667,111.830759,110.161111,119.386627,116.694444,111.212871,106.350000,105.983333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
