System Date,System Time,Elapsed Time (sec),,Software Elapsed Time (sec),Program Status,TC Tree Average,TC Down,RTD IN,RTD Out,RTD Ambient,Totalized Flow (Gallons),Flow Rate (GPM),Pressure - HI1,Pressure - HI2,Pressure - LOW,Pressure - PIN,Mass Flow Rate(lb/min),Density(lb/US Gal),Flow Meter Inlet Temperature(°F),Draw Weight(lbs),Total Weight Inventory(lbs),Total Gallons Inventory(US Gallon),Drive Gain (%),Raw Tube Frequency (Hz),Hot Flow Rate-Calculated(US GPM),Hot Gallons-Calculated(US Gallon),Hot Flow Rate-Laurel(US GPM),Hot Gallons-Laurel(US Gallon),T1,T2,T3,T4,T5,T6,UPPER ELEMENT,LOWER ELEMENT,COMPRESSOR,FAN,DLB,T2-13,T3-18,Absolute Pressure [inHgA],Gauge/Diff. Pressure [inHgG],BarometricPressure [inHgA],Temperature [°F],Uncorrected [CFH],Corrected [SCFH],Gas Rate (BTU/hr),Heating Value (BTU/ft³),Energy (BTU),Totalizer [Sft3],Gas Selected,Thermal Efficiency (%)
9/25/2020,29:07.2,6319.65,0,12340.47,Finished Draw.... ,113.083,58,58.7,125.1,69.8,0,0.439,0.002,0.002,0.002,0.002,3.718,8.347,59.022,0.004,385.948,46.259,6.641,151.623,0.451,0.001,0,0,124,121.9,116,106.6,105.7,104.3,0,1,0,0,0,181.863,68.819,30.18,0.76,29.42,71.38,39.282,38.679,41173.40871,1064.49,43227.87441,40.609,NatG-1,
9/25/2020,29:09.5,6322.65,3,12342.83,Finished Draw.... ,113.117,57.9,58.7,125.1,69.8,0.004,0,0.002,0.002,0.002,0.002,0,8.347,59.06,0.032,385.975,46.262,6.626,151.623,0,0.004,0,0,124,121.8,116,106.5,105.6,104.8,0,1,0,0,0,182.664,68.825,30.18,0.76,29.42,71.38,39.239,38.633,41124.44217,1064.49,43250.2287,40.63,NatG-1,
9/25/2020,29:12.1,6324.65,5,12345.42,Heating Tanks.... ,113.117,58,58.7,125.1,69.8,0.004,0,0.002,0.002,0.002,0.002,0,8.347,59.039,0.032,385.975,46.262,6.634,151.623,0,0.004,0,0,124,121.8,115.8,106.5,105.8,104.8,0,1,0,0,0,183.706,68.796,30.19,0.77,29.419,71.38,39.275,38.67,41163.8283,1064.49,43284.29238,40.662,NatG-1,
9/25/2020,29:15.3,6327.65,8,12348.58,Heating Tanks.... ,113.167,58,58.7,125.1,69.8,0.004,0,0.002,0.002,0.002,0.002,0,8.347,59.062,0.032,385.975,46.262,6.628,151.622,0,0.004,0,0,124,121.8,115.6,106.8,105.8,105,0,1,0,0,0,184.745,68.825,30.19,0.77,29.42,71.38,39.246,38.643,41135.08707,1064.49,43319.42055,40.695,NatG-1,
9/25/2020,29:18.3,6330.65,11,12351.59,Heating Tanks.... ,113.133,58,58.8,125.1,69.8,0.004,0,0.002,0.002,0.002,0.002,0,8.347,59.061,0.032,385.975,46.262,6.628,151.622,0,0.004,0,0,124,121.8,115.5,106.5,106,105,0,1,0,0,0,185.747,68.888,30.19,0.77,29.42,71.38,39.186,38.587,41075.47563,1064.49,43352.41974,40.726,NatG-1,
9/25/2020,29:21.3,6333.65,14,12354.58,Heating Tanks.... ,113.167,58,58.8,125,69.8,0.004,0,0.002,0.002,0.001,0.002,0,8.346,59.146,0.032,385.975,46.262,6.624,151.621,0,0.004,0,0,124.1,121.9,115.8,106.1,106,105.1,0,1,0,0,0,186.894,68.859,30.18,0.76,29.42,71.38,39.216,38.62,41110.6038,1064.49,43386.48342,40.758,NatG-1,
9/25/2020,29:24.3,6336.65,17,12357.56,Heating Tanks.... ,113.133,58,58.7,125,69.8,0.004,0,0.002,0.002,0.002,0.002,0,8.346,59.149,0.032,385.975,46.262,6.632,151.621,0,0.004,0,0,124.1,121.8,116.1,105.9,106,104.9,0,1,0,0,0,187.967,68.854,30.18,0.76,29.42,71.38,39.183,38.583,41071.21767,1064.49,43421.61159,40.791,NatG-1,
9/25/2020,29:27.3,6339.65,20,12360.57,Heating Tanks.... ,113.183,58,58.7,125,69.8,0.004,0,0.002,0.002,0.002,0.002,0,8.346,59.197,0.032,385.975,46.262,6.624,151.621,0,0.004,0,0,124.1,121.8,116,106.1,106.1,105,0,1,0,0,0,188.726,68.906,30.18,0.76,29.42,71.38,39.107,38.507,40990.31643,1064.49,43455.67527,40.823,NatG-1,
9/25/2020,29:30.3,6342.65,23,12363.57,Heating Tanks.... ,113.233,58,58.7,125,69.8,0.004,0,0.003,0.002,0.002,0.002,0,8.346,59.223,0.032,385.975,46.262,6.627,151.62,0,0.004,0,0,124.1,121.8,115.5,106.5,106.5,105,0,1,0,0,0,189.787,68.882,30.18,0.76,29.42,71.38,39.103,38.504,40987.12296,1064.49,43488.67446,40.854,NatG-1,
9/25/2020,29:33.3,6345.65,26,12366.55,Heating Tanks.... ,113.45,58,58.7,125,69.8,0.004,0,0.002,0.002,0.002,0.002,0,8.346,59.255,0.032,385.975,46.262,6.623,151.62,0,0.004,0,0,124.2,121.8,115.5,106.8,106.6,105.8,0,1,0,0,0,190.827,68.854,30.18,0.76,29.42,71.37,39.1,38.507,40990.31643,1064.49,43523.80263,40.887,NatG-1,
