Voltage (Volts) - Mean,122.34,122.35,122.32,122.33,122.32,122.32,122.387034,122.29,122.405199,122.38,122.321574,122.29,122.799973,122.76,122.641551,122.62,122.716803,122.69,122.474336,122.48,122.463767,122.47,121.811831,121.8,121.805049,121.81,121.758844,121.74,121.793893,121.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Standard Deviation,NaN,NaN,NaN,NaN,NaN,NaN,0.034101,NaN,0.038971,NaN,0.03462,NaN,0.031769,NaN,0.038174,NaN,0.025481,NaN,0.039407,NaN,0.030425,NaN,0.030634,NaN,0.042904,NaN,0.028095,NaN,0.042927,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Variance,NaN,NaN,NaN,NaN,NaN,NaN,0.001163,NaN,0.001519,NaN,0.001199,NaN,0.001009,NaN,0.001457,NaN,0.000649,NaN,0.001553,NaN,0.000926,NaN,0.000938,NaN,0.001841,NaN,0.000789,NaN,0.001843,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Max,122.34,122.35,122.32,122.33,122.32,122.32,122.47,122.29,122.51,122.38,122.41,122.29,122.92,122.76,122.74,122.62,122.76,122.69,122.57,122.48,122.53,122.47,121.89,121.8,121.92,121.81,121.82,121.74,121.9,121.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Min,122.34,122.35,122.32,122.33,122.32,122.32,122.26,122.29,122.33,122.38,122.22,122.29,122.69,122.76,122.52,122.62,122.66,122.69,122.37,122.48,122.38,122.47,121.72,121.8,121.71,121.81,121.69,121.74,121.69,121.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Mean,0.10439,0.10434,0.10414,0.1041,0.09926,0.09926,0.099243,0.09914,0.099421,0.09939,0.098984,0.09898,0.09961,0.09958,0.099277,0.09926,0.09954,0.09949,0.099135,0.09914,0.099085,0.09909,0.098404,0.0984,0.098306,0.09831,0.098365,0.09836,0.098293,0.09841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Standard Deviation,NaN,NaN,NaN,NaN,NaN,NaN,0.000041,NaN,0.000042,NaN,0.000047,NaN,0.000039,NaN,0.000049,NaN,0.000034,NaN,0.000053,NaN,0.000037,NaN,0.000041,NaN,0.000055,NaN,0.000036,NaN,0.000059,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Variance,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Max,0.10439,0.10434,0.10414,0.1041,0.09926,0.09926,0.09936,0.09914,0.09954,0.09939,0.09911,0.09898,0.09974,0.09958,0.0994,0.09926,0.09961,0.09949,0.09926,0.09914,0.09916,0.09909,0.09852,0.0984,0.09845,0.09831,0.09845,0.09836,0.09846,0.09841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Min,0.10439,0.10434,0.10414,0.1041,0.09926,0.09926,0.09911,0.09914,0.09933,0.09939,0.09887,0.09898,0.0995,0.09958,0.09913,0.09926,0.09946,0.09949,0.09899,0.09914,0.09899,0.09909,0.09829,0.0984,0.09819,0.09831,0.09828,0.09836,0.09817,0.09841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Mean,7.73,7.726,7.709,7.705,7.347,7.347,7.34972,7.339,7.367536,7.364,7.325723,7.325,7.398086,7.396,7.363606,7.362,7.388463,7.384,7.344266,7.345,7.340144,7.341,7.256092,7.255,7.249065,7.25,7.25122,7.25,7.249352,7.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Standard Deviation,NaN,NaN,NaN,NaN,NaN,NaN,0.004305,NaN,0.005199,NaN,0.005538,NaN,0.004513,NaN,0.005764,NaN,0.003949,NaN,0.005872,NaN,0.004363,NaN,0.004689,NaN,0.006297,NaN,0.004166,NaN,0.006939,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Variance,NaN,NaN,NaN,NaN,NaN,NaN,0.000019,NaN,0.000027,NaN,0.000031,NaN,0.00002,NaN,0.000033,NaN,0.000016,NaN,0.000034,NaN,0.000019,NaN,0.000022,NaN,0.00004,NaN,0.000017,NaN,0.000048,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Max,7.73,7.726,7.709,7.705,7.347,7.347,7.361,7.339,7.382,7.364,7.341,7.325,7.414,7.396,7.379,7.362,7.396,7.384,7.358,7.345,7.349,7.341,7.269,7.255,7.266,7.25,7.26,7.25,7.269,7.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Min,7.73,7.726,7.709,7.705,7.347,7.347,7.335,7.339,7.358,7.364,7.312,7.325,7.385,7.396,7.346,7.362,7.379,7.384,7.328,7.345,7.329,7.341,7.243,7.255,7.235,7.25,7.241,7.25,7.235,7.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WattHours - Max,0.026834,0.038643,0.076143,0.087913,7.5445,7.5557,9.7515,9.7638,12.585,12.593,21.535,21.543,86.568,86.579,93.678,93.69,97.13,97.142,102.65,102.66,103.26,103.27,126.34,126.35,128.28,128.28,131.8,131.81,133.97,133.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WattHours - Min,0.026834,0.038643,0.076143,0.087913,7.5445,7.5557,8.6746,9.7638,12.335,12.593,20.89,21.543,85.916,86.579,93.312,93.69,97.001,97.142,102.53,102.66,103.14,103.27,126.21,126.35,128.02,128.28,131.66,131.81,133.47,133.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Mean,89.322221,89.344444,89.511111,89.638888,125.516666,125.522222,115.967877,107.622222,123.296652,122.455555,120.873752,115.455555,122.203154,116.872221,124.252392,120.333334,128.020785,127.277777,126.678943,125.805556,125.164726,124.333332,124.44957,123.772222,122.184383,120.794444,125.853372,124.08889,119.455926,115.138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Standard Deviation,NaN,NaN,NaN,NaN,NaN,NaN,5.034058,NaN,0.431462,NaN,3.38207,NaN,3.605163,NaN,2.487479,NaN,0.284166,NaN,0.336568,NaN,0.3496,NaN,0.319105,NaN,0.900151,NaN,0.786352,NaN,2.543273,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Variance,NaN,NaN,NaN,NaN,NaN,NaN,25.341738,NaN,0.186159,NaN,11.438395,NaN,12.997203,NaN,6.187553,NaN,0.08075,NaN,0.113278,NaN,0.12222,NaN,0.101828,NaN,0.810271,NaN,0.61835,NaN,6.468236,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Max,89.322221,89.344444,89.511111,89.638888,125.516666,125.522222,125.627777,107.622222,123.866668,122.455555,127.149999,115.455555,129.083336,116.872221,128.577779,120.333334,128.444442,127.277777,127.205557,125.805556,125.733332,124.333332,124.916667,123.772222,123.544444,120.794444,127.444443,124.08889,124.422221,115.138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Min,89.322221,89.344444,89.511111,89.638888,125.516666,125.522222,107.238889,107.622222,122.566667,122.455555,115.344445,115.455555,116.444445,116.872221,120.405555,120.333334,127.36111,127.277777,125.922222,125.805556,124.377778,124.333332,123.772222,123.772222,120.566665,120.794444,123.766668,124.08889,115.144445,115.138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Mean,0,0,0,0,0,0,1.688819,0,0.944652,0,1.680336,0,1.681115,0,1.666208,0,0.944531,0,0.965734,0,0.943055,0,0.959141,0,0.94057,0,1.639636,0,1.673262,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Standard Deviation,NaN,NaN,NaN,NaN,NaN,NaN,0.049943,NaN,0.058951,NaN,0.063898,NaN,0.064193,NaN,0.08353,NaN,0.08556,NaN,0.089025,NaN,0.08752,NaN,0.086384,NaN,0.060197,NaN,0.127491,NaN,0.071615,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Variance,NaN,NaN,NaN,NaN,NaN,NaN,0.002494,NaN,0.003475,NaN,0.004083,NaN,0.004121,NaN,0.006977,NaN,0.007321,NaN,0.007926,NaN,0.00766,NaN,0.007462,NaN,0.003624,NaN,0.016254,NaN,0.005129,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Max,0,0,0,0,0,0,1.731,0,0.995,0,1.724,0,1.701,0,1.717,0,1.021,0,1.038,0,1.013,0,1.016,0,1.023,0,1.726,0,1.722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallons (Gal) - Max,0,0,0,0,0,0,14.721,14.721,1.926,1.926,8.827,8.827,8.819,8.819,4.906,4.906,0.954,0.954,0.957,0.957,0.954,0.954,0.958,0.958,1.946,1.946,1.949,1.949,6.903,6.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
