Voltage (Volts) - Mean,119.192565,119.090000,119.150000,118.993578,118.970000,119.000000,118.549935,118.820000,118.531362,118.160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Standard Deviation,0.091940,NaN,NaN,0.103150,NaN,NaN,0.100468,NaN,0.212969,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Variance,0.008453,NaN,NaN,0.010640,NaN,NaN,0.010094,NaN,0.045356,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Max,119.410000,119.090000,119.150000,119.190000,118.970000,119.000000,118.840000,118.820000,118.870000,118.160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Min,118.950000,119.090000,119.150000,118.650000,118.970000,119.000000,118.340000,118.820000,118.090000,118.160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Mean,0.191858,0.191670,0.191800,0.191219,0.191280,0.191350,0.190682,0.191260,0.000095,0.000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Standard Deviation,0.000173,NaN,NaN,0.000204,NaN,NaN,0.000215,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Variance,0.000000,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Max,0.192300,0.191670,0.191800,0.191630,0.191280,0.191350,0.191270,0.191260,0.000095,0.000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Min,0.191380,0.191670,0.191800,0.190550,0.191280,0.191350,0.190280,0.191260,0.000095,0.000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Mean,13.984545,13.960000,13.980000,13.911635,13.920000,13.930000,13.820057,13.900000,0.007003,0.007000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Standard Deviation,0.026164,NaN,NaN,0.029759,NaN,NaN,0.029330,NaN,0.000016,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Variance,0.000685,NaN,NaN,0.000886,NaN,NaN,0.000860,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Max,14.050000,13.960000,13.980000,13.970000,13.920000,13.930000,13.900000,13.900000,0.007100,0.007000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Min,13.910000,13.960000,13.980000,13.810000,13.920000,13.930000,13.770000,13.900000,0.007000,0.007000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WattHours - Max,13.514000,13.525000,13.537000,23.991000,24.003000,24.014000,31.123000,31.135000,35.676000,35.676000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WattHours - Min,9.699000,13.525000,13.537000,21.877000,24.003000,24.014000,28.989000,31.135000,35.675000,35.676000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Mean,94.328402,79.305556,79.205556,103.369550,90.488889,90.350000,102.871795,89.788889,100.039867,84.122222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
