Version: ,2.15.1031.19, , , , , 
Water Heater Test Report, ,,,,,
Test Procedure,DOE UEF 1st Hour (Storage),,,,,
, ,,,,,
File Name:,UEFFHRgasST-3-GE3-1102.csv,,,,,
Test Start Date & Time:,7/10/2020 11:00:40,,,,,
Test Name:,UEFFHRgasST-3-GE3-1102,,,,,
Operator:,Ashley Cocita,,,,,
Station and Location: ,Cleveland - 3,,,,,
Manufacturer:,GE,,,,,
Model Number:,40T-12BXR01,,,,,
Serial Number:,PROTO,,,,,
UEF Water Heater Type:, ,,,,,
Heating Method:,Nat/LP gas,,,,,
Water Heater Description:,40136 BTU/15 min,,,,,
Vst:,38.35,,,,,
Predraws Selected: ,0,,,,,
 , ,,,,,
Thermocouple Tree: ,Hulk Hogan,,,,,
 ,Probe 1,Probe 2,Probe 3,Probe 4,Probe 5,Probe 6
Probe Heights: ,0.00,0.00,0.00,0.00,0.00,0.00
Date,Time,Elapsed Time,Message,Burner/Lower Element,Upper Element,Total Uncorr. Gas Cons.,Total Corr. Gas Cons,Gas Rate (BTU/hr),Q Gas,Q Elec,Q Total,Total Water Cons. @Outlet,Water Flow Rate @Outlet,Water Flow Rate @Inlet,Total Water Cons. @Inlet,Mean Tank Temp,Max Mean Tank Temp,Voltage,Current,Watts,Watt-Hours,Inlet Temp,Outlet Temp,Ambient Temp,Probe 1,Probe 2,Probe 3,Probe 4,Probe 5,Probe 6,Gas Temp,Barometer,Gas Meter Pressure,Manifold Pressure,High Flow Water Reg.,Humidity,Oil Heating Value,Water Scale Factor,Gas Scale Factor,Gas CF,Delta,Water Press.,Inlet,Outlet,Oil Scale Factor,Bypass Valve,Oil Heating Value,HV Type Selected,Tohx,Comb. Air Temp,Mean Tank Temp (60s Avg)
7/10/2020,10:48:39,-720.2,Waiting for Max Mean Tank Temp,OFF,OFF,4.672,4.570,0.000,4961.714,-11.371,4950.343,0.000,0.000,0.000,0.000,129.604,128.763,0.096,0.000,-0.000,-3.333,84.031,122.759,66.720,135.633,134.665,133.066,129.577,122.262,122.420,67.102,29.050,10.958,-0.005,0.007,0.000,1086.293,5000.000,250.000,0.982,38.728,83.335,-99638.610,-99674.023,500000.000,ON,1067.400,Oil,-99674.023,-99674.023,128.763
7/10/2020,10:49:39,-660.2,Waiting for Max Mean Tank Temp,OFF,OFF,4.680,4.578,0.000,4970.245,-11.371,4958.874,2.687,3.041,3.008,2.658,130.258,129.958,0.096,0.000,-0.000,-3.333,57.862,121.887,66.720,136.303,135.163,133.535,130.087,123.301,123.157,67.109,29.050,10.879,-0.001,0.008,0.000,1086.293,5000.000,250.000,0.982,64.024,72.596,-99638.956,-99674.401,500000.000,ON,1067.400,Oil,-99674.401,-99674.401,129.958
7/10/2020,10:50:39,-600.2,Waiting for Max Mean Tank Temp,OFF,OFF,4.688,4.586,0.000,4978.775,-11.371,4967.404,5.738,3.053,3.020,5.675,130.426,130.338,0.096,0.000,-0.000,-3.333,57.779,121.078,66.719,136.418,135.347,133.724,130.130,123.765,123.171,67.114,29.050,10.856,-0.000,0.008,0.000,1086.293,5000.000,250.000,0.982,63.298,72.357,-99636.468,-99671.946,500000.000,ON,1067.400,Oil,-99671.946,-99671.946,130.338
7/10/2020,10:51:39,-540.2,Waiting for Max Mean Tank Temp,OFF,OFF,4.696,4.594,0.000,4987.305,-11.371,4975.934,8.795,3.060,3.028,8.699,130.455,130.476,0.096,0.000,-0.000,-3.333,57.709,120.291,66.705,136.454,135.399,133.804,130.162,123.549,123.360,67.115,29.050,10.848,-0.000,0.008,0.000,1086.293,5000.000,250.000,0.981,62.582,72.299,-99635.882,-99671.448,500000.000,ON,1067.400,Oil,-99671.448,-99671.448,130.476
7/10/2020,10:52:39,-480.2,Waiting for Max Mean Tank Temp,OFF,OFF,4.700,4.598,0.000,4991.569,-11.371,4980.198,11.839,3.032,3.000,11.710,130.619,130.532,0.096,0.000,-0.000,-3.333,57.696,119.490,66.732,136.502,135.441,133.787,130.405,123.938,123.640,67.111,29.050,10.843,0.000,0.008,0.000,1086.293,5000.000,250.000,0.981,61.793,72.319,-99634.483,-99670.022,500000.000,ON,1067.400,Oil,-99670.022,-99670.022,130.532
7/10/2020,10:53:39,-420.2,Waiting for Max Mean Tank Temp,OFF,OFF,4.708,4.605,0.000,5000.099,-11.371,4988.728,14.879,3.067,3.036,14.719,130.708,130.650,0.096,0.000,-0.000,-3.333,57.691,118.704,66.732,136.561,135.486,133.839,130.390,124.150,123.823,67.108,29.050,10.837,0.000,0.008,0.000,1086.293,5000.000,250.000,0.981,61.013,72.392,-99635.370,-99671.064,500000.000,ON,1067.400,Oil,-99671.064,-99671.064,130.650
7/10/2020,10:54:39,-360.2,Waiting for Max Mean Tank Temp,OFF,OFF,4.716,4.613,0.000,5008.628,-11.371,4997.257,17.921,3.042,3.011,17.730,130.738,130.703,0.096,0.000,-0.000,-3.333,57.680,117.946,66.684,136.550,135.507,133.835,130.356,124.207,123.969,67.101,29.050,10.835,0.001,0.008,0.000,1086.293,5000.000,250.000,0.981,60.266,72.494,-99633.615,-99669.254,500000.000,ON,1067.400,Oil,-99669.254,-99669.254,130.703
7/10/2020,10:55:39,-300.2,Waiting for Max Mean Tank Temp,OFF,OFF,4.720,4.617,0.000,5012.893,-11.371,5001.522,20.962,3.042,3.012,20.740,130.776,130.752,0.096,0.000,-0.000,-3.333,57.694,117.217,66.692,136.553,135.494,133.844,130.397,124.318,124.050,67.098,29.050,10.832,0.001,0.008,0.000,1086.293,5000.000,250.000,0.981,59.522,72.334,-99631.469,-99667.244,500000.000,ON,1067.400,Oil,-99667.244,-99667.244,130.752
7/10/2020,10:56:39,-240.2,Waiting for Max Mean Tank Temp,OFF,OFF,4.724,4.621,0.000,5017.158,-11.371,5005.787,24.003,3.042,3.012,23.751,130.789,130.774,0.096,0.000,-0.000,-3.333,57.665,116.494,66.669,136.557,135.512,133.842,130.341,124.362,124.120,67.088,29.038,10.831,0.001,0.008,0.000,1086.293,5000.000,250.000,0.981,58.829,72.392,-99629.114,-99664.848,500000.000,ON,1067.400,Oil,-99664.848,-99664.848,130.774
7/10/2020,10:57:39,-180.2,Waiting for Max Mean Tank Temp,OFF,OFF,4.732,4.629,0.000,5025.684,-11.371,5014.313,27.056,3.057,3.028,26.774,130.804,130.811,0.096,0.000,-0.000,-3.333,57.711,115.783,66.669,136.569,135.510,133.836,130.359,124.348,124.199,67.080,29.038,10.828,0.001,0.008,0.000,1086.293,5000.000,250.000,0.981,58.071,73.068,-99627.918,-99663.734,500000.000,ON,1067.400,Oil,-99663.734,-99663.734,130.811
