Version: ,2.15.1031.19, , , ,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Heater Test Report, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Procedure,DOE UEF 24h (Storage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Name:,UEFSIMgasST-3-GE3-1105.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Start Date & Time:,7/16/2020 8:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name:,UEFSIMgasST-3-GE3-1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator:,Ashley Cocita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station and Location: ,Cleveland - 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer:,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Number:,40T-12BXR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number:,PROTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEF Water Heater Type:,High-Usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heating Method:,Nat/LP gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Heater Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vst:,38.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predraws Selected: ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermocouple Tree: ,Hulk Hogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Probe 1,Probe 2,Probe 3,Probe 4,,,Probe 5,,Probe 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probe Heights: ,0,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Elapsed Time,Message,Burner/Lower Element,,Burner/Lower Element,Upper Element,Upper Element Corey,Total Uncorr. Gas Cons.,Total Corr. Gas Cons,Total Corr. Gas Cons Corey,Gas Rate (BTU/hr),Q Gas,Q Gas Corey,Q Elec,Q Elec Corey,Q Total,Q Total Corey,Total Water Cons. @Outlet,Water Flow Rate @Outlet,Water Flow Rate @Inlet,Total Water Cons. @Inlet,Total Water Cons. @Inlet Corey,Mean Tank Temp,Max Mean Tank Temp,Voltage,Current,Watts,Watt-Hours,Inlet Temp,Outlet Temp,Ambient Temp,Probe 1,Probe 2,Probe 3,Probe 4,Probe 5,Probe 6,Gas Temp,Barometer,Gas Meter Pressure,Manifold Pressure,High Flow Water Reg.,Humidity,Oil Heating Value,Water Scale Factor,Gas Scale Factor,Gas CF,Delta,Water Press.,Inlet,Outlet,Oil Scale Factor,Bypass Valve,Oil Heating Value,HV Type Selected,Tohx,Comb. Air Temp,Mean Tank Temp (60s Avg),
7/16/2020,8:07:38,0,Test Start,OFF,,0,OFF,0,24.276,23.84,0,0,25812.912,0,4671.222,0,30484.134,0,27.222,3.005,3,27.176,0,123.892,123.938,0,0,0,1369,57.655,73.729,67.696,123.878,124.021,123.959,123.86,123.807,123.827,68.112,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,16.074,70.312,-99993.619,-100030.44,500000,ON,1062.8,Oil,-100030.44,-100030.44,123.893,0.045
7/16/2020,8:07:38,0.2,Draw Start 1,OFF,,0,OFF,0,24.276,23.84,0,0,25812.912,0,4671.222,0,30484.134,0,27.232,3.008,3.003,27.186,0.01,123.891,123.938,0,0,0,1369,57.655,73.729,67.696,123.872,124.022,123.956,123.866,123.802,123.825,68.112,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,16.074,70.312,-99993.06,-100029.811,500000,OFF,1062.8,Oil,-100029.811,-100029.811,123.893,0.045
7/16/2020,8:07:43,5.2,Draw 1,OFF,,0,OFF,0,24.276,23.84,0,0,25812.912,0,4671.222,0,30484.134,0,27.481,2.978,2.968,27.434,0.258,123.899,123.938,0,0,0,1369,57.657,97.944,67.695,123.879,124.044,123.974,123.867,123.808,123.823,68.111,29.194,10.811,0,0.008,0,1081.612,5000,250,0.984,40.287,70.4,-99995.819,-100032.596,500000,OFF,1062.8,Oil,-100032.596,-100032.596,123.892,0.046
7/16/2020,8:07:46,8.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,27.631,2.998,2.972,27.582,0.406,123.859,123.938,0,0,0,1369,57.663,118.045,67.694,123.887,124.029,123.969,123.878,123.81,123.583,68.109,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,60.382,70.417,-99996.077,-100032.808,500000,OFF,1062.8,Oil,-100032.808,-100032.808,123.89,0.048
7/16/2020,8:07:49,11.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,27.78,2.992,2.96,27.73,0.554,123.883,123.938,0,0,0,1369,57.668,122.188,67.698,123.892,124.006,123.977,123.87,123.792,123.758,68.107,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,64.52,70.434,-99994.691,-100031.386,500000,OFF,1062.8,Oil,-100031.386,-100031.386,123.889,0.049
7/16/2020,8:07:52,14.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,27.93,2.99,2.956,27.878,0.702,123.882,123.938,0,0,0,1369,57.68,123.082,67.699,123.875,124.026,123.977,123.857,123.736,123.821,68.108,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,65.402,70.413,-99994.407,-100031.142,500000,OFF,1062.8,Oil,-100031.142,-100031.142,123.888,0.05
