 ,,,,,,,,,,,,,,,
,Date:,11/17/2020,,,,,,,,,,,,,
,Y,(Y/N),Is the water heater electric? (If Y then 9 thru 14 may be skipped),,,,,,,,,,,,
1,30.164,Gal,"Volume (If Volume is entered then items 2 thru 4 may be skipped, otherwise leave as 0)",,,,,,,,,,,,
2,,lb,Weight of water heater empty,,,,,,,,,,,,
3,,lb,Weight of water heater full,,,,,,,,,,,,
4,,DegF,Temperature of water in water heater full,,,,,,,,,,,,
*,3002.560,Btu,Qstby,Qsu0-Qsuf (requires input at Qsu0 and Qsuf),,,,,,,,,,,
6,155.317,DegF,T24,Mean Tank Temp at end of test,,,,,,,,,,,
*,156.183,DegF,"Tsu,f",the mean tank temperature observed at the minute prior to the start of the draw following the first draw cluster or the minute prior to a recovery occurring at the start of the draw following the end of the first draw cluster,,,,,,,,,,,
7,151.583,DegF,"Tsu,0",Max Mean Tank Temp after last draw recovery,,,,,,,,,,,
*,7.201,Hr,tstby1,"elapsed time between the time at which the maximum mean tank temperature is observed after the first draw cluster and the minute prior to the start of the first draw following the end of the first draw cluster of the 24-hour simulated use test or the minute prior to a recovery occurring at the start of the draw following the end of the first draw cluster, h",,,,,,,,,,,
8,NA,Hr,tstby,Time from last draw / recovery Tmax to 24 hours.,,,,,,,,,,,
*,22043.908,Btu,"Qsu,0",cumulative energy consumption of the water heater from the start of the 24-hour simulated use test to the time at which the maximum mean tank temperature is attained after the recovery following the end of the first draw cluster,,,,,,,,,,,
*,25046.468,Btu,"Qsu,f",cumulative energy consumption of the water heater from the start of the 24-hour simulated use test to the minute prior to the start of the draw following the end of the first draw cluster or the minute prior to a recovery occurring at the start of the draw following the end of the first draw cluster,,,,,,,,,,,
*,29.944,Gal,V1,Gallons drawn prior to completion of the FIRST recovery event.,,,,,,,,,,,
*,124.774,DegF,Tdel1,Average outlet temperature of water drawn prior to completion of the FIRST recovery event.,,,,,,,,,,,
11,58.126,DegF,Tin1,Average inlet water temperature of water introduced prior to completion of the FIRST recovery event.,,,,,,,,,,,
12,152.817,DegF,Tmax1,Max mean tank temp after the FIRST recovery event.,,,,,,,,,,,
13,152.767,DegF,To,Initial mean tank temp as observed 1 minute prior to start,,,,,,,,,,,
14,17052.494,Btu,Qr,Energy used from the start of the test through the FIRST recovery event when Tmax1 occurrs,,,,,,,kwhx3412=btu,,,,
15,154.702,DegF,Ttstby1,overall average storage tank temperature between the time when the maximum mean tank temperature is observed after cut-out following the first draw cluster and the minute prior to commencement of the next draw following the first draw cluster of the 24-hour simulated use test,,,,,,,,,,,
16,68.127,DegF,Tastby1,overall average ambient temperature between the time when the maximum mean tank temperature is observed after cut-out following the first draw cluster and the minute prior to commencement of the next draw following the first draw cluster of the 24-hour simulated use test,,,,,,,,,,,
*,53283.839,Btu,Q,Total energy used during the 24 hour simulated use test (Q24-Q0),,,,,,,,,,,
18,152.767,DegF,To,Initial mean tank temp.,,,,,,,,,,,
19,,DegF,Tstby2,Average mean tank temp during all standby.,,,,Not used in UEF calculation.,,,,,,,
20,68.125,DegF,Tastby2,Average ambient temp during all standby.,,,,,,,,,,,
21,23.346,Hr,tstby2,Total standby time.,,,,,,,,,,,
22,Draw #,Vol (Gal),Tin-avg (DegF),Tout-avg (DegF),Mass = Volume * Density,,,,,,,,,,
,V1,29.94,58.1,124.8,Water drawn prior to FIRST recovery event,,,,,,,,Gallons,gpm,minutes
,1,26.93,58.1,124.8,,,,,,,,,27.00,3.0,9.000
,2,1.99,58.1,124.6,,,,,,,,,2.00,1.0,2.000
,3,1.02,58.3,124.7,,,,,,,,,1.00,1.0,1.000
,4,8.99,58.2,124.7,,,,,,,,,9.00,1.7,5.294
,5,15.04,58.0,124.8,,,,,,,,,15.00,3.0,5.000
,6,5.02,57.9,124.6,,,,,,,,,5.00,1.7,2.941
,7,1.02,58.2,124.3,,,,,,,,,1.00,1.0,1.000
,8,1.03,58.4,123.0,,,,,,,,,1.00,1.0,1.000
