Voltage (Volts) - Mean,240.900000,240.730000,240.744450,240.550000,241.050060,241.220000,239.776923,239.730000,240.559024,240.640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Standard Deviation,NaN,NaN,0.356125,NaN,0.144714,NaN,0.148733,NaN,0.044148,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Variance,NaN,NaN,0.126825,NaN,0.020942,NaN,0.022121,NaN,0.001949,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Max,240.900000,240.730000,241.580000,240.550000,241.380000,241.220000,240.330000,239.730000,240.620000,240.640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Min,240.900000,240.730000,239.850000,240.550000,240.700000,241.220000,239.380000,239.730000,240.410000,240.640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Mean,0.000240,0.000239,12.180238,23.408000,23.459323,23.315000,23.340645,23.188000,0.000122,0.000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Standard Deviation,NaN,NaN,11.694698,NaN,0.017769,NaN,0.014621,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Variance,NaN,NaN,136.765967,NaN,0.000316,NaN,0.000214,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Max,0.000240,0.000239,23.491000,23.408000,23.577000,23.315000,23.388000,23.188000,0.000122,0.000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Min,0.000240,0.000239,0.000233,23.408000,23.315000,23.315000,23.251000,23.188000,0.000122,0.000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Mean,0.031300,0.030900,2928.910584,5631.000000,5654.854985,5624.000000,5596.549231,5559.000000,0.028995,0.029000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Standard Deviation,NaN,NaN,2812.189949,NaN,6.944134,NaN,6.936308,NaN,0.000022,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Variance,NaN,NaN,7908412.310372,NaN,48.220996,NaN,48.112365,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Max,0.031300,0.030900,5652.000000,5631.000000,5688.000000,5624.000000,5621.000000,5559.000000,0.029000,0.029000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Min,0.031300,0.030900,0.030200,5631.000000,5621.000000,5624.000000,5571.000000,5559.000000,0.028900,0.029000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WattHours - Max,6426.100000,6426.100000,7162.400000,7169.500000,9165.900000,9172.200000,11218.000000,11227.000000,11349.000000,11349.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WattHours - Min,6426.100000,6426.100000,6426.100000,7169.500000,8748.100000,9172.200000,10802.000000,11227.000000,11349.000000,11349.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Mean,122.933333,122.944446,94.578164,72.844445,78.283652,72.488889,78.709205,72.550000,72.559892,71.905555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Standard Deviation,NaN,NaN,14.325592,NaN,3.642609,NaN,3.748948,NaN,0.146468,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Variance,NaN,NaN,205.222589,NaN,13.268598,NaN,14.054607,NaN,0.021453,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Max,122.933333,122.944446,122.516667,72.844445,86.088888,72.488889,86.677778,72.550000,72.794445,71.905555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Min,122.933333,122.944446,73.266666,72.844445,72.377779,72.488889,72.616667,72.550000,72.250000,71.905555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
