Voltage (Volts) - Mean,119.740000,119.850000,119.549760,119.450000,119.462725,119.230000,119.607277,119.550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Standard Deviation,NaN,NaN,0.107382,NaN,0.188549,NaN,0.070003,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Variance,NaN,NaN,0.011531,NaN,0.035551,NaN,0.004900,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Max,119.740000,119.850000,119.810000,119.450000,119.800000,119.230000,119.760000,119.550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Min,119.740000,119.850000,119.270000,119.450000,119.110000,119.230000,119.390000,119.550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Mean,0.030550,0.030650,1.639293,2.426100,1.705946,2.409600,0.000062,0.000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Standard Deviation,NaN,NaN,1.134315,NaN,1.094895,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Variance,NaN,NaN,1.286671,NaN,1.198795,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Max,0.030550,0.030650,2.490200,2.426100,2.572200,2.409600,0.000063,0.000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Min,0.030550,0.030650,0.030370,2.426100,0.030340,2.409600,0.000062,0.000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
