(10/13/2015 4:29:37 PM) INFO - Making report for: 1130, try 1. 
(10/13/2015 4:29:39 PM) INFO - Making report for: 1131, try 1. 
(10/13/2015 4:29:40 PM) INFO - Making report for: 1119, try 1. 
(10/13/2015 4:29:51 PM) INFO - Making report for: 1130, try 1. 
(10/13/2015 4:29:52 PM) INFO - Making report for: 1131, try 1. 
(10/13/2015 4:29:54 PM) INFO - Making report for: 1119, try 1. 
(10/13/2015 4:30:05 PM) INFO - Making report for: 1130, try 1. 
(10/13/2015 4:30:06 PM) INFO - Making report for: 1131, try 1. 
(10/13/2015 4:30:07 PM) INFO - Making report for: 1119, try 1. 
(10/13/2015 4:49:08 PM) INFO - Making report for: 1130, try 1. 
(10/13/2015 4:49:15 PM) INFO - Making report for: 1131, try 1. 
(10/13/2015 4:49:21 PM) INFO - Making report for: 1119, try 1. 
(10/13/2015 4:49:39 PM) INFO - Making report for: 1114, try 1. 
(10/13/2015 4:49:41 PM) INFO - Making report for: 1103, try 1. 
(10/13/2015 4:49:44 PM) INFO - Making report for: 1112, try 1. 
(10/13/2015 4:49:47 PM) INFO - Making report for: 1110, try 1. 
(10/13/2015 4:49:54 PM) INFO - Making report for: 1115, try 1. 
(10/13/2015 4:49:56 PM) INFO - Making report for: 1118, try 1. 
(10/13/2015 4:50:03 PM) INFO - Making report for: 1121, try 1. 
(10/13/2015 4:53:59 PM) INFO - Making report for: 1116, try 1. 
(10/13/2015 5:05:36 PM) INFO - Making report for: 1137, try 1. 
(10/15/2015 8:18:22 AM) INFO - Making report for: 1175, try 1. 
(10/16/2015 11:44:50 AM) INFO - Making report for: 1194, try 1. 
(10/16/2015 11:44:53 AM) INFO - Making report for: 1211, try 1. 
(10/16/2015 11:44:57 AM) INFO - Making report for: 1210, try 1. 
(10/16/2015 11:45:01 AM) INFO - Making report for: 1212, try 1. 
(10/16/2015 11:45:05 AM) INFO - Making report for: 1213, try 1. 
(10/16/2015 11:45:19 AM) INFO - Making report for: 1214, try 1. 
(10/16/2015 11:45:23 AM) INFO - Making report for: 1215, try 1. 
(10/19/2015 1:12:28 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:12:39 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:12:50 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:13:00 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:13:11 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:13:22 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:13:33 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:13:44 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:13:55 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:14:05 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:14:16 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:14:27 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:14:38 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:14:49 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:14:59 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:15:10 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:15:21 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:15:32 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:15:43 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:15:53 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:16:04 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:16:15 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:16:26 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:16:37 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:16:47 PM) INFO - Making report for: 1218, try 1. 
